DATE,PRODUITS,VILLE,PRIX
2020-01-06,CITRON (kg),ABIDJAN,500
2020-01-06,CITRON (kg),SANPEDRO,700
2020-01-06,CITRON (kg),BOUAKE,600
2020-01-06,CITRON (kg),YAMOUSSOUKRO,700
2020-01-06,CITRON (kg),MAN,600
2020-01-20,CITRON (kg),ABIDJAN,500
2020-01-20,CITRON (kg),SANPEDRO,700
2020-01-20,CITRON (kg),BOUAKE,600
2020-01-20,CITRON (kg),YAMOUSSOUKRO,700
2020-01-20,CITRON (kg),MAN,350
2020-01-20,CITRON (kg),KORHOGO,500
2020-01-27,CITRON (kg),ABIDJAN,500
2020-01-27,CITRON (kg),SANPEDRO,700
2020-01-27,CITRON (kg),BOUAKE,600
2020-01-27,CITRON (kg),YAMOUSSOUKRO,700
2020-01-27,CITRON (kg),MAN,350
2020-01-27,CITRON (kg),KORHOGO,500
2020-02-03,CITRON (kg),ABIDJAN,500
2020-02-03,CITRON (kg),SANPEDRO,700
2020-02-03,CITRON (kg),BOUAKE,600
2020-02-03,CITRON (kg),YAMOUSSOUKRO,700
2020-02-03,CITRON (kg),MAN,350
2020-02-03,CITRON (kg),KORHOGO,500
2020-02-10,CITRON (kg),ABIDJAN,650
2020-02-10,CITRON (kg),SANPEDRO,300
2020-02-10,CITRON (kg),BOUAKE,600
2020-02-10,CITRON (kg),YAMOUSSOUKRO,700
2020-02-10,CITRON (kg),MAN,875
2020-02-10,CITRON (kg),KORHOGO,600
2020-02-17,CITRON (kg),ABIDJAN,650
2020-02-17,CITRON (kg),SANPEDRO,300
2020-02-17,CITRON (kg),BOUAKE,600
2020-02-17,CITRON (kg),YAMOUSSOUKRO,700
2020-02-17,CITRON (kg),MAN,875
2020-02-17,CITRON (kg),KORHOGO,800
2020-02-24,CITRON (kg),ABIDJAN,650
2020-02-24,CITRON (kg),SANPEDRO,300
2020-02-24,CITRON (kg),BOUAKE,600
2020-02-24,CITRON (kg),YAMOUSSOUKRO,700
2020-02-24,CITRON (kg),MAN,875
2020-02-24,CITRON (kg),KORHOGO,800
2020-03-02,CITRON (kg),ABIDJAN,600
2020-03-02,CITRON (kg),SANPEDRO,300
2020-03-02,CITRON (kg),BOUAKE,600
2020-03-02,CITRON (kg),YAMOUSSOUKRO,700
2020-03-02,CITRON (kg),MAN,500
2020-03-02,CITRON (kg),KORHOGO,800
2020-03-09,CITRON (kg),ABIDJAN,500
2020-03-09,CITRON (kg),SANPEDRO,300
2020-03-09,CITRON (kg),BOUAKE,600
2020-03-09,CITRON (kg),YAMOUSSOUKRO,700
2020-03-09,CITRON (kg),MAN,450
2020-03-09,CITRON (kg),KORHOGO,700
2020-03-16,CITRON (kg),ABIDJAN,500
2020-03-16,CITRON (kg),SANPEDRO,300
2020-03-16,CITRON (kg),BOUAKE,600
2020-03-16,CITRON (kg),YAMOUSSOUKRO,700
2020-03-16,CITRON (kg),MAN,450
2020-03-16,CITRON (kg),KORHOGO,700
2020-03-30,CITRON (kg),ABIDJAN,500
2020-03-30,CITRON (kg),SANPEDRO,300
2020-03-30,CITRON (kg),BOUAKE,600
2020-03-30,CITRON (kg),YAMOUSSOUKRO,700
2020-03-30,CITRON (kg),MAN,450
2020-03-30,CITRON (kg),KORHOGO,700
2020-04-06,CITRON (kg),ABIDJAN,500
2020-04-06,CITRON (kg),SANPEDRO,300
2020-04-06,CITRON (kg),BOUAKE,600
2020-04-06,CITRON (kg),YAMOUSSOUKRO,700
2020-04-06,CITRON (kg),MAN,450
2020-04-06,CITRON (kg),KORHOGO,700
2020-04-13,CITRON (kg),ABIDJAN,500
2020-04-13,CITRON (kg),SANPEDRO,300
2020-04-13,CITRON (kg),BOUAKE,600
2020-04-13,CITRON (kg),YAMOUSSOUKRO,700
