"MOIS","PRODUITS","VILLE","PRIX"
"janvier","POIVRON (kg)","ABIDJAN",1200
"janvier","POIVRON (kg)","SANPEDRO",1300
"janvier","POIVRON (kg)","BOUAKE",700
"janvier","POIVRON (kg)","YAMOUSSOUKRO",1500
"janvier","POIVRON (kg)","MAN",2000
"janvier","POIVRON (kg)","ABIDJAN",800
"janvier","POIVRON (kg)","SANPEDRO",1500
"janvier","POIVRON (kg)","BOUAKE",1000
"janvier","POIVRON (kg)","YAMOUSSOUKRO",1500
"janvier","POIVRON (kg)","MAN",2000
"janvier","POIVRON (kg)","KORHOGO",1000
"janvier","POIVRON (kg)","ABIDJAN",800
"janvier","POIVRON (kg)","SANPEDRO",1500
"janvier","POIVRON (kg)","BOUAKE",1000
"janvier","POIVRON (kg)","YAMOUSSOUKRO",1500
"janvier","POIVRON (kg)","MAN",2000
"janvier","POIVRON (kg)","KORHOGO",1000
"février","POIVRON (kg)","ABIDJAN",800
"février","POIVRON (kg)","SANPEDRO",1500
"février","POIVRON (kg)","BOUAKE",1000
"février","POIVRON (kg)","YAMOUSSOUKRO",1500
"février","POIVRON (kg)","MAN",2000
"février","POIVRON (kg)","KORHOGO",1000
"février","POIVRON (kg)","ABIDJAN",800
"février","POIVRON (kg)","SANPEDRO",1000
"février","POIVRON (kg)","BOUAKE",800
"février","POIVRON (kg)","YAMOUSSOUKRO",1500
"février","POIVRON (kg)","MAN",2000
"février","POIVRON (kg)","KORHOGO",1000
"février","POIVRON (kg)","ABIDJAN",800
"février","POIVRON (kg)","SANPEDRO",1200
"février","POIVRON (kg)","BOUAKE",800
"février","POIVRON (kg)","YAMOUSSOUKRO",1500
"février","POIVRON (kg)","MAN",2000
"février","POIVRON (kg)","KORHOGO",1000
"février","POIVRON (kg)","ABIDJAN",800
"février","POIVRON (kg)","SANPEDRO",1200
"février","POIVRON (kg)","BOUAKE",800
"février","POIVRON (kg)","YAMOUSSOUKRO",1500
"février","POIVRON (kg)","MAN",2000
"février","POIVRON (kg)","KORHOGO",1000
"mars","POIVRON (kg)","ABIDJAN",1000
"mars","POIVRON (kg)","SANPEDRO",1200
"mars","POIVRON (kg)","BOUAKE",800
"mars","POIVRON (kg)","YAMOUSSOUKRO",1500
"mars","POIVRON (kg)","MAN",2500
"mars","POIVRON (kg)","KORHOGO",1000
"mars","POIVRON (kg)","ABIDJAN",800
"mars","POIVRON (kg)","SANPEDRO",1200
"mars","POIVRON (kg)","BOUAKE",800
"mars","POIVRON (kg)","YAMOUSSOUKRO",1500
"mars","POIVRON (kg)","MAN",2500
"mars","POIVRON (kg)","KORHOGO",1000
"mars","POIVRON (kg)","ABIDJAN",800
"mars","POIVRON (kg)","SANPEDRO",1200
"mars","POIVRON (kg)","BOUAKE",800
"mars","POIVRON (kg)","YAMOUSSOUKRO",1500
"mars","POIVRON (kg)","MAN",2500
"mars","POIVRON (kg)","KORHOGO",1000
"mars","POIVRON (kg)","ABIDJAN",800
"mars","POIVRON (kg)","SANPEDRO",1200
"mars","POIVRON (kg)","BOUAKE",800
"mars","POIVRON (kg)","YAMOUSSOUKRO",1500
"mars","POIVRON (kg)","MAN",2500
"mars","POIVRON (kg)","KORHOGO",1000
"avril","POIVRON (kg)","ABIDJAN",800
"avril","POIVRON (kg)","SANPEDRO",1200
"avril","POIVRON (kg)","BOUAKE",800
"avril","POIVRON (kg)","YAMOUSSOUKRO",1500
"avril","POIVRON (kg)","MAN",2500
"avril","POIVRON (kg)","KORHOGO",1000
"avril","POIVRON (kg)","ABIDJAN",800
"avril","POIVRON (kg)","SANPEDRO",1200
"avril","POIVRON (kg)","BOUAKE",800
"avril","POIVRON (kg)","YAMOUSSOUKRO",1500
"avril","POIVRON (kg)","MAN",2500
"avril","POIVRON (kg)","KORHOGO",1000
"avril","POIVRON (kg)","ABIDJAN",800
"avril","POIVRON (kg)","SANPEDRO",1200
"avril","POIVRON (kg)","BOUAKE",800
"avril","POIVRON (kg)","YAMOUSSOUKRO",1500
"avril","POIVRON (kg)","MAN",2500
"avril","POIVRON (kg)","KORHOGO",1000
"mai","POIVRON (kg)","ABIDJAN",800
"mai","POIVRON (kg)","SANPEDRO",1200
"mai","POIVRON (kg)","BOUAKE",800
"mai","POIVRON (kg)","YAMOUSSOUKRO",1500
"mai","POIVRON (kg)","MAN",2500
"mai","POIVRON (kg)","KORHOGO",1000
"mai","POIVRON (kg)","ABIDJAN",800
"mai","POIVRON (kg)","SANPEDRO",1200
"mai","POIVRON (kg)","BOUAKE",800
"mai","POIVRON (kg)","YAMOUSSOUKRO",1500
"mai","POIVRON (kg)","MAN",2500
"mai","POIVRON (kg)","KORHOGO",1000
"mai","POIVRON (kg)","ABIDJAN",800
"mai","POIVRON (kg)","SANPEDRO",1200
"mai","POIVRON (kg)","BOUAKE",800
"mai","POIVRON (kg)","YAMOUSSOUKRO",1500
"mai","POIVRON (kg)","MAN",2500
"mai","POIVRON (kg)","KORHOGO",1000
"juin","POIVRON (kg)","ABIDJAN",800
"juin","POIVRON (kg)","SANPEDRO",1200
"juin","POIVRON (kg)","BOUAKE",800
"juin","POIVRON (kg)","YAMOUSSOUKRO",1500
"juin","POIVRON (kg)","MAN",2500
"juin","POIVRON (kg)","KORHOGO",1000
"juillet","POIVRON (kg)","ABIDJAN",1100
"juillet","POIVRON (kg)","SANPEDRO",1000
"juillet","POIVRON (kg)","BOUAKE",600
"juillet","POIVRON (kg)","YAMOUSSOUKRO",1500
"juillet","POIVRON (kg)","MAN",2500
"juillet","POIVRON (kg)","KORHOGO",1000
"août","POIVRON (kg)","ABIDJAN",1100
"août","POIVRON (kg)","SANPEDRO",1000
"août","POIVRON (kg)","BOUAKE",600
"août","POIVRON (kg)","YAMOUSSOUKRO",1500
"août","POIVRON (kg)","MAN",2500
"août","POIVRON (kg)","KORHOGO",1000
"septembre","POIVRON (kg)","ABIDJAN",1100
"septembre","POIVRON (kg)","SANPEDRO",1000
"septembre","POIVRON (kg)","BOUAKE",600
"septembre","POIVRON (kg)","YAMOUSSOUKRO",1500
"septembre","POIVRON (kg)","MAN",2500
"septembre","POIVRON (kg)","KORHOGO",1000
"octobre","POIVRON (kg)","ABIDJAN",1100
"octobre","POIVRON (kg)","SANPEDRO",1000
"octobre","POIVRON (kg)","BOUAKE",600
"octobre","POIVRON (kg)","YAMOUSSOUKRO",1500
"octobre","POIVRON (kg)","MAN",2500
"octobre","POIVRON (kg)","KORHOGO",1000
"novembre","POIVRON (kg)","ABIDJAN",1100
"novembre","POIVRON (kg)","SANPEDRO",1000
"novembre","POIVRON (kg)","BOUAKE",600
"novembre","POIVRON (kg)","YAMOUSSOUKRO",1500
"novembre","POIVRON (kg)","MAN",2500
"novembre","POIVRON (kg)","KORHOGO",1000
"décembre","POIVRON (kg)","ABIDJAN",1100
"décembre","POIVRON (kg)","SANPEDRO",1000
"décembre","POIVRON (kg)","BOUAKE",600
"décembre","POIVRON (kg)","YAMOUSSOUKRO",1500
"décembre","POIVRON (kg)","MAN",2500
"décembre","POIVRON (kg)","KORHOGO",1000
"décembre","POIVRON (kg)","ABIDJAN",900
"décembre","POIVRON (kg)","SANPEDRO",1200
"décembre","POIVRON (kg)","BOUAKE",900
"décembre","POIVRON (kg)","YAMOUSSOUKRO",1500
"décembre","POIVRON (kg)","MAN",2000
"décembre","POIVRON (kg)","KORHOGO",1000
"décembre","POIVRON (kg)","ABIDJAN",1000
"décembre","POIVRON (kg)","SANPEDRO",1200
"décembre","POIVRON (kg)","BOUAKE",900
"décembre","POIVRON (kg)","YAMOUSSOUKRO",1500
"décembre","POIVRON (kg)","MAN",1500
"décembre","POIVRON (kg)","KORHOGO",1000
"janvier","POIVRON (kg)","ABIDJAN",1300
"janvier","POIVRON (kg)","SANPEDRO",1000
"janvier","POIVRON (kg)","BOUAKE",700
"janvier","POIVRON (kg)","YAMOUSSOUKRO",1500
"janvier","POIVRON (kg)","MAN",1500
"janvier","POIVRON (kg)","KORHOGO",1000
"janvier","POIVRON (kg)","ABIDJAN",1100
"janvier","POIVRON (kg)","SANPEDRO",1000
"janvier","POIVRON (kg)","BOUAKE",700
"janvier","POIVRON (kg)","YAMOUSSOUKRO",1500
"janvier","POIVRON (kg)","MAN",1500
"janvier","POIVRON (kg)","KORHOGO",1000
"janvier","POIVRON (kg)","ABIDJAN",1100
"janvier","POIVRON (kg)","SANPEDRO",1000
"janvier","POIVRON (kg)","BOUAKE",700
"janvier","POIVRON (kg)","YAMOUSSOUKRO",1500
"janvier","POIVRON (kg)","MAN",1500
"janvier","POIVRON (kg)","KORHOGO",1000
"février","POIVRON (kg)","ABIDJAN",700
"février","POIVRON (kg)","SANPEDRO",1000
"février","POIVRON (kg)","BOUAKE",600
"février","POIVRON (kg)","YAMOUSSOUKRO",1500
"février","POIVRON (kg)","MAN",2000
"février","POIVRON (kg)","KORHOGO",1000
"février","POIVRON (kg)","ABIDJAN",700
"février","POIVRON (kg)","SANPEDRO",1000
"février","POIVRON (kg)","BOUAKE",700
"février","POIVRON (kg)","YAMOUSSOUKRO",1500
"février","POIVRON (kg)","MAN",2000
"février","POIVRON (kg)","KORHOGO",1000
"février","POIVRON (kg)","ABIDJAN",700
"février","POIVRON (kg)","SANPEDRO",1000
"février","POIVRON (kg)","BOUAKE",700
"février","POIVRON (kg)","YAMOUSSOUKRO",1500
"février","POIVRON (kg)","MAN",2000
"février","POIVRON (kg)","KORHOGO",1000
"mars","POIVRON (kg)","ABIDJAN",1000
"mars","POIVRON (kg)","SANPEDRO",1000
"mars","POIVRON (kg)","BOUAKE",700
"mars","POIVRON (kg)","YAMOUSSOUKRO",1500
"mars","POIVRON (kg)","MAN",2000
"mars","POIVRON (kg)","KORHOGO",1000
"mars","POIVRON (kg)","ABIDJAN",800
"mars","POIVRON (kg)","SANPEDRO",1000
"mars","POIVRON (kg)","BOUAKE",700
"mars","POIVRON (kg)","YAMOUSSOUKRO",1500
"mars","POIVRON (kg)","MAN",2000
"mars","POIVRON (kg)","KORHOGO",1500
"mars","POIVRON (kg)","ABIDJAN",800
"mars","POIVRON (kg)","SANPEDRO",1000
"mars","POIVRON (kg)","BOUAKE",900
"mars","POIVRON (kg)","YAMOUSSOUKRO",1500
"mars","POIVRON (kg)","MAN",2000
"mars","POIVRON (kg)","KORHOGO",1000
"mars","POIVRON (kg)","ABIDJAN",800
"mars","POIVRON (kg)","SANPEDRO",1200
"mars","POIVRON (kg)","BOUAKE",1000
"mars","POIVRON (kg)","YAMOUSSOUKRO",1500
"mars","POIVRON (kg)","MAN",2000
"mars","POIVRON (kg)","KORHOGO",1000
"mars","POIVRON (kg)","ABIDJAN",600
"mars","POIVRON (kg)","SANPEDRO",1200
"mars","POIVRON (kg)","BOUAKE",1000
"mars","POIVRON (kg)","YAMOUSSOUKRO",1500
"mars","POIVRON (kg)","MAN",2000
"mars","POIVRON (kg)","KORHOGO",1000
"avril","POIVRON (kg)","ABIDJAN",600
"avril","POIVRON (kg)","SANPEDRO",1200
"avril","POIVRON (kg)","BOUAKE",1000
